tweet_text,emotion_type,product_mention
Who's at #sxsw that can a 64gb iPad 2 with 3G? I'll Paypal right now! ;),Positive emotion,Apple
"I am not #SXSW worthy since I don't know what UX is. RT @mention 
So, @mention product on the iPhone. Period. The UX is...",no emotion,Apple
Fear not #SXSW-ers! RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link},Positive emotion,Apple
"#tech At #SXSW, #Apple schools the marketing experts {link} #technology",no emotion,Apple
"#tech At #SXSW, #Apple schools the marketing experts: Thousands are in town to demonstrate their social... {link} #technology",no emotion,Apple
"&quot;At #SXSW, Apple schools the marketing experts&quot;  {link}",Positive emotion,Apple
"#tech At #SXSW, Apple schools the marketing experts {link}",Positive emotion,Apple
"bored at #SxSW, try this iphone app: {link}",Positive emotion,Apple
"Today at #SXSW: Bulletproof UX strategy, games &amp; design patterns with Google, and the anatomy of a design decision.",no emotion,Google
Free for #SXSW: fluffertraX Radio #iPhone app--{link},Positive emotion,Apple
Going to #SXSW?  Check out our new Rhapsody/Echo Nest app to help figure out what shows to see: {link},no emotion,Google
Going to #SXSW? Come by the #EMC Consulting booth for your chance to win an iPad 2! @mention @mention,Positive emotion,Apple
Going to #SXSW? Here's a google map of free wi-fi hotspots: {link} (warning: it's from 2009),no emotion,Google
Going to #SXSW? Join Google &amp; YouTube for special events &amp; more: {link} #googlesxsw,no emotion,Google
Going to #SXSW? Plan to visit the #EMC booth for your chance to win an iPad! @mention @mention,no emotion,Apple
Going to #SXSW? Sign up for Filmaster iPhone app with code &quot;SXSW&quot; to get a cool t-shirt on site: {link},no emotion,Apple
Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp,Positive emotion,Apple
At #sxsw #tapworthy iPad Design Headaches - avoiding the pitfalls of the new design challenges,Negative emotion,Apple
@mention #webmobile talking about #mVideo. Talked about iPhone and Android video but what about the other 85% of phones? #SXSW,no emotion,Both
#winning #winning - just gave away 5 red mophie juice pack air's to fans with #Tigerblood at #SXSW No more dead iPhone batteries 4 them!,no emotion,Apple
Mayer: 20% of Google searches are for local information #SXSW ^pr,no emotion,Google
Evernote + iPhone is awesome for #sxsw notes/photos #taccsxsw,Positive emotion,Apple
Disaster = iPhone died in middle of #sxsw ... can't function. heading to apple store.,Negative emotion,Apple
Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud,Positive emotion,Google
If I had $1 for every person holding his iPhone above his head to take a pic of this crowd....I would have several dollars. #SXSW,no emotion,Apple
"I'll pay $681.00 for a New, Unopened iPad 2 16GB with 3G for Verizon - Black. Visit www.Zaarly.com to claim the cash. #willpay #sxsw",no emotion,Apple
"I'll pay $900 for a new iPad 2, white, 32 GB, 3G in the next 20 hours. {link} #willpay #sxsw #zaarly",Positive emotion,Apple
@mention $AAPL should've just put the iPad pop-up store right after the badge pickup line for #SXSW in the convention center,no emotion,Apple
#google 80's party @mention maggie's! Hair did makeup did and rockin out with @mention #sxsw,no emotion,Google
Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW,Positive emotion,Google
Head to 605 for a chance to win RT @mention Almost time to enter to win an iPad 2 at the #EMC booth in the #SXSW exhibit hall! @mention,no emotion,Apple
"The iPad 1 is so March 11, 2011 4:59PM PST. #sxsw",Negative emotion,Apple
"#SXSW 2011 Trends:
Out: Google
In: Twitter
Next: Angry Birds",Positive emotion,Google
#SXSW 2011: Demo Of Samsung TV Controlled By #Android Phone {link},no emotion,Google
"#SXSW 2011: HeyWire launches group chat with Facebook, Google and Twitter {link}",no emotion,Google
#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link},no emotion,Apple
#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link} via @mention,Negative emotion,Apple
#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link},Negative emotion,Apple
#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link},Negative emotion,Google
#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link} via @mention @mention,Negative emotion,Google
#SXSW 2011: The Google and Bing smackdown in all its bloody banality (Guardian) {link} via @mention,no emotion,Google
Not even 10am here in Austin and my iPhone batt is at 54% - shit #SXSW #notevenstartedyet,Negative emotion,Apple
Google's 1986 themed party at #sxsw  @mention Maggie Mae's {link},no emotion,Google
AOS iPad 2 giveaway is picking up steam! #SXSWi #SXSW @mention Mashable MashBash SXSWi {link} #photo,no emotion,Apple
The iPad 2 goes on sale next Friday...the Austin Apple Store is going to be busy! #SXSW,Positive emotion,Apple
"@mention 2 heck w/being sick, #Apple is supposedly setting up mini-store at #sxsw - I so have to go now!! &amp; I'm feeling 95%, so plan 2 go",no emotion,Apple
The iPad 2 is just a better product... They have had time to make worthwhile improvements... @mention Diller #SXSW,Positive emotion,Apple
The iPad 2 launch is all the buzz at #SXSW 2011 {link} via @mention @mention #apple #tablet #marketing #advertising #ipod,Positive emotion,Apple
The iPad 2 launch is really at *South By* in Austin?  That is so inde.    ÛÓ  #sxsw #mac #ipad @mention,Positive emotion,Apple
The iPad 2 line #SXSW {link},no emotion,Apple
The iPad 2 line is only about 20 minutes long #sxsw,no emotion,Apple
The iPad 2 Takes Over #SXSW [#VIDEO] {link} #channels #gadgets #news #uncategorized,Positive emotion,Apple
The iPad 2 Takes Over #SXSW [#VIDEO]: One of the biggest events the first day of SXSW 2011Û_ {link},Positive emotion,Apple
The iPad 2 Takes Over #SXSW [VIDEO] {link},Positive emotion,Apple
The iPad 2 Takes Over #SXSW [VIDEO] {link} via @mention @mention,Positive emotion,Apple
The iPad 2 Takes Over #SXSW [VIDEO]: {link},Positive emotion,Apple
The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable,Positive emotion,Apple
The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,Positive emotion,Apple
The iPad 2 Takes Over SXSW [VIDEO] {link} #ipad2 #SXSW,Positive emotion,Apple
My #sxsw 2011 new iPhone app page. What's missing? See any breakouts? {link},no emotion,Apple
Stoked.  22 free #SXSW songs from iTunes: {link}  My personal favorite = Barton Hollow by @mention #sundaymorning,no emotion,Apple
We're at 2nd and congress #SXSW #RewardsWagon with @mention bookbook iPad cases. Get here fast. :),Positive emotion,Apple
Google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #SXSW  @mention Speakeasy {link},no emotion,Google
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,Positive emotion,Both
I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,no emotion,Apple
"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",Positive emotion,Apple
#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW,Positive emotion,Apple
{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,Positive emotion,Google
Just won a @mention #sxsw mystery prize! I hope it's an iPad 2:) Thanks for a great panel and the gift. #DiscoTalk,Positive emotion,Apple
"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw",Positive emotion,Apple
We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi,Positive emotion,Apple
Just got a back door invite to the Google party. goona network my ass off! #SXSW,Positive emotion,Google
Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw,Positive emotion,Google
"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw",Positive emotion,Google
Building a custom Android home screen for #sxsw #SXSWi stuff. Any other must haves? {link},no emotion,Google
Just got a free iPhone charger. Someone came up to me and gave me one randomly. I love #sxsw!,Positive emotion,Apple
Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link},Positive emotion,Apple
&quot;...a full service web app (MAC)...&quot; - I can only assume that this is something like an iPhone app for Internet Explorer. #sxsw,no emotion,Apple
Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link},Positive emotion,Google
"There is a great festival #app for #sxsw featured on the app store works with google maps and plan schedule, and it's #free",Positive emotion,Both
"Watching a guy simultaneously use a laptop and an iPad. The Force is strong with this one, mmm. #sxsw",Positive emotion,Apple
Just saw a guy tweeting on his iPad while peeing... This is #sxsw,no emotion,Apple
The Beluga iPhone app is the highlight of this #SXSW. Excellent way to coordinate the #sxsw4japan relief effort.,Positive emotion,Apple
"Gettiing a last minute visit from @mention and @mention  I'd like to think it's for me, but it's all about the iPad.  #sxsw",no emotion,Apple
there is a line in front of the &quot;secret&quot; apple ipad store on congress ave but it's not very long. the line at sbux is longer. #sxsw,no emotion,Apple
Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw,Negative emotion,Apple
Just got a new #iPad case from @mention #SXSW - check out the female alien {link},no emotion,Apple
Just saw a preview of the new @mention iPad app. Awesome. #sxsw,Positive emotion,Apple
"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",Positive emotion,Both
If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw,Positive emotion,Apple
Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,Positive emotion,Apple
It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link},Positive emotion,Apple
It's not a rumor: Apple is opening up a popup store for #SXSW + the #iPad2 launch {link} via @mention @mention @mention,no emotion,Apple
It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #rgv,no emotion,Apple
It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} via @mention,no emotion,Apple
It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,no emotion,Apple
It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Positive emotion,Apple
It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch {link},no emotion,Apple
Not just a rumor: the pop-up Apple Store at #SXSW exists...and they're still selling iPads.  {link},no emotion,Apple
"&lt;just a rumor...&gt; RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",no emotion,Google
"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",Positive emotion,Apple
Watching a talk by the guy who hired Jony Ive into Apple. #SXSW #industrialdesign,no emotion,Apple
There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,Positive emotion,Apple
#sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.,Positive emotion,Apple
At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,Positive emotion,Google
"At Q&amp;A with google and bing panel. #sxsw (@mention Hilton, Salon J w/ 59 others) {link}",no emotion,Google
"Learning ab Google doodles! All doodles should be light, funny &amp; innovative, with exceptions for significant occasions. #GoogleDoodle #sxsw",no emotion,Google
"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",Positive emotion,Google
Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link},Positive emotion,Apple
saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,Positive emotion,Apple
"Quick, enable the bubble barriers over #PAXEast, #SXSW and all Apple stores. Protect your new #nerdking.",no emotion,Apple
SXSW Quotables are giving away an iPad 2 today - all you need to do is sign up at {link} to be entered automatically. #sxsw,no emotion,Apple
It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.,Positive emotion,Apple
"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone",Positive emotion,Apple
Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW,Positive emotion,Apple
Thinking about standing outside the Austin Apple Store on 3/11 with $200 cash to snatch iPad 1 from those upgrading. #SXSW,no emotion,Apple
@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,Negative emotion,Apple
"Learning about using HTML5 across multiple devices by looking at freebeernear.me on the Web, Android, OSX and iPhone #hack5 #sxsw #donline",no emotion,Both
Keeping tabs on #sxsw via  @mention Awesome iPad app,no emotion,Apple
fucking mac users..... {link} #sxsw CWebb iPad Grant Hill,Negative emotion,Apple
Google Places with Hotpot personalized &quot;friend&quot; recommendations are pulled from... Facebook??? #SXSW,no emotion,Google
"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Positive emotion,Apple
"looking back at some of my tweets from #sxsw and holy wow, so many typos! ughhhhh. autocorrect and my inability to type on ipad. goo",no emotion,Apple
"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui",Positive emotion,Apple
"#SXSW ÛÒ Rackspace Startup Program, Cloud 2.0 #iPad App Launched {link} via @mention",no emotion,Apple
Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!,Positive emotion,Apple
My 2nd iPad 2 (wi-fi only) has been sold. Used Craigslist and avoided those pesky eBay fees. #ThankGod. #SXSW.,no emotion,Apple
Got my ipad 2 and gave to red cross for japan what a first day at #sxsw,Positive emotion,Apple
Win an iPad 2 at SXSW via @mention ! #sxsw {link},Positive emotion,Apple
Win an iPad 2 from @mention - just submit &amp; vote up your favorite quotes from #SXSW at {link} {link},no emotion,Apple
"has an ipad 2 in his hands, and it is exquisite. #sxsw",Positive emotion,Apple
Video: iPad 2 Line Walk: Austin Texas. Did you get one today? - #SXSW {link},no emotion,Apple
Is the iPad 2 out yet in USA? Or will it be during #SxSW?,no emotion,Apple
Win an iPad 2! via @mention Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #entrepreneur #smallbiz #ceokidschat,Positive emotion,Apple
writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link},Positive emotion,Apple
Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link},Positive emotion,Apple
Win an iPad at SXSW via @mention #sxsw {link},Positive emotion,Apple
Won an iPad case at @mention talking about search research at #SXSW!,no emotion,Apple
#SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link},Negative emotion,Apple
Double iPad DJ Full On Across the Sky #SXSW #tweethouse  {link},no emotion,Apple
Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,Positive emotion,Google
so the iPad will be available while I'm in Austin for #sxsw -- this is major #GeekDilemma,Positive emotion,Apple
Win an iPad2 by signing up here: {link} #sxsw #wantlet,no emotion,Apple
#sxsw #ipad2 Ipad 2 well is dry at the pop up store...,no emotion,Apple
#sxsw: ipad2 is coming for you! Will you buy? RT @mention Apple to open a store near SXSW for ipad 2 release. {link},Positive emotion,Apple
"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW",Positive emotion,Apple
beyondbroadcast: #sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools... {link},no emotion,Apple
I just loaded up the GroupMe app for the iPhone. Load me up #sxsw brethren. ;) {link},no emotion,Apple
Monday's Adfonic Daily is Out! Read about #iphone white release #Google social #sxsw and all things #mobile here Ðü {link},Positive emotion,Both
"LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",Positive emotion,Apple
"#Apple heads to SXSW, sets up temporary store in #Austin {link} #news #sxsw",no emotion,Apple
gettin ready for #sxsw  @mention Apple Store {link},no emotion,Apple
@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!,Positive emotion,Apple
@mention after a few days of #sxsw you still thinking of skipping an iPad? #lightnessofbeing,no emotion,Apple
"Snotty Dbag at #sxsw &quot;actually, its android. Droid is a brand name. There's a difference&quot; die.",no emotion,Google
"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers",Positive emotion,Apple
Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,Positive emotion,Apple
Evidence against NFC in the iPhone 5 via @mention {link} #checkins #sxsw cc: @mention,no emotion,Apple
Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,Positive emotion,Google
@mention ahoy! let your readers know we'll keep em updated #sxsw parties w/ #eventseekr. Android: {link} iPhone app on way,no emotion,Both
"Mission failure - dried up roast beef sandwich with soggy tomato, $6.25.  Oh well, sat in chevy lounge and charged iphone on power mat #sxsw",no emotion,Apple
Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.,Negative emotion,Google
"Google Brain spent weekend answering search queries for #SXSW attendees. Don't worry. What you search for on Google, stays with Google.  ;-)",no emotion,Google
2+ hour wait at the makeshift Apple store for iPad 2. #fail #sxsw,Negative emotion,Apple
I can't wait to see what @mention 's been up to! @mention big news {link}  #google #circles #sxsw,no emotion,Google
Today I waited in line to buy the iPad 2 from the #sxsw pop-up store. And then I roamed Austin for hours without getting mugged. #superlucky,no emotion,Apple
"Doesn't make sense to limit content to a specific platform, if it's on the iPad it should be on the web @mention interview w/ @mention #sxsw",Negative emotion,Apple
biggest takeaway from #UXDes thus far -- bring physical world into your iPad design &amp; recreate already learned experiences. #sxsw,no emotion,Apple
The big takeaway from #SXSW interactive - I need an iphone.,Positive emotion,Apple
Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW,Negative emotion,Apple
"Guy Kawasaki ex Apple Evangelist talking eloquently about the art of enchantment - changing, hearts, minds and actions #sxsw",no emotion,Apple
Google: taking about new product called Hotpot. Review/recommendations engine that is also a social tool. #sxsw,no emotion,Google
Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw,Positive emotion,Apple
9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android,Positive emotion,Both
5 Essential Business #Collaboration Apps for #iPad {link} #BPM #SXSW #SXSWi,no emotion,Apple
"Existential Google. MT @mention ÛÏContextual DiscoveryÛ Demo: where you are, your history, time of search to refine results. #SXSW",no emotion,Google
My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.,Positive emotion,Apple
#sxsw Haralambous &quot;iPhone is 1% of Africa market&quot;,no emotion,Apple
"Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party åÈ Android Phones, Android Tablets, News, Tech, Gad.. 
{link}",no emotion,Google
Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party {link} via @mention,no emotion,Google
@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Positive emotion,Google
I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,Positive emotion,Apple
GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Negative emotion,Apple
It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Negative emotion,Apple
Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Negative emotion,Google
Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,no emotion,Apple
Google challenges Facebook with surprise announcement at #sxsw this weekend. @mention has the inside scoop: {link},no emotion,Google
#virtualwallet #sxsw #paypal we get physical goods cut #apple gets their 30% on software and virtual goods,no emotion,Apple
#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,Negative emotion,Both
"@mention allows you to volunteer on your iPad, #SXSW",no emotion,Apple
I was finally forced to google #sxsw. Why can't people tweet with better #contextclues like on #jeopardy?,no emotion,Google
Apple. Really? You need brand recognition? I prefer the Red Delicious Variety! :-) {link} #sxsw #popupstores,no emotion,Apple
New #socialnetwork for #Google? #Facebook #Twitter #SXSW {link} via @mention,no emotion,Google
{link} - Alright #SXSW iPad 2 line time. Line is reasonable. 1/4 block + 1 block + 1/2 block,no emotion,Apple
"@mention also check out @mention for #Android &amp; web. Has group chat, whiteboarding, location &amp; image sharing, and more. #app #SXSW",no emotion,Google
And. I'm also gonna Google #SXSW so I will finally know what that means. Been seeing it pass by on Twitter enough times now. Gotta find out.,no emotion,Google
@mention also if your at #sxsw and have an iphone you can use the @mention site to check in.,no emotion,Apple
#sxsw #health2dev Zeiger &quot;Health is moving so much slower than we could be.&quot; #Google,no emotion,Google
Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,Positive emotion,Both
DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market. See u there!,no emotion,Both
DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Positive emotion,Both
DL the #Calyp app today! Avail in the iTunes App Store &amp; Android Market. Special perks for #Endorsers at #SXSW #Calyp Casa,no emotion,Both
Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Positive emotion,Google
Google analytics rocks #VIEW512 #SXSW,Positive emotion,Google
Google team and panel say agencies have attitudes. You think?#agileagency #SXSW,no emotion,Google
Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,Positive emotion,Apple
Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,Positive emotion,Apple
"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",Positive emotion,Apple
Could a game improve ecodriving habits? RT @mention ÛÏ35 million miles a day are driven while being Google Maps Navigation assisted.&quot;#sxsw,no emotion,Google
Style X &amp; @mention - brethren #SXSW pop-ups! ://m.theatlantic.com/technology/archive/2011/03/apple-sets-up-temporary-megastore-at-sxsw/72296/,no emotion,Apple
Marissa &amp; the Google crew recommend Amy's Ice Cream in Austin  #SxSW,no emotion,Google
"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",Positive emotion,Apple
"Now You Can Actually Use Q&amp;A Site Hipster, If YouÛªre At SXSW That Is {link} #CO #iPhone #online #SXSW",no emotion,Apple
We built an app to map driving directions to polling places before Google Maps. #SXSW ^PR,no emotion,Google
"There is an art to advertising, not just statistics, says @mention to Google Admob guy who asked a question.  #SXSW #sxflip #SXSWi",no emotion,Google
Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,Positive emotion,Apple
"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Positive emotion,Google
"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",Negative emotion,Apple
"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",Positive emotion,Apple
Just won an iPad 2 at #sxsw thanks to @mention #fxsw,Positive emotion,Apple
Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},Positive emotion,Apple
@mention An iPad is cheaper than most laptops. #newsapps #sxsw,Positive emotion,Apple
Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,Positive emotion,Apple
"Just saw an iPhone #periscope move w/ 2nd camera @mention  gowalla talk @mention #sxsw. Snoring guy busted &amp; documented. Get a cpap, homie!",no emotion,Apple
Want a chance to win an iPad 2 while you're at #SXSW? Visit Aquent Booth 1413 {link},no emotion,Apple
@mention and @mention open up a 64GB 3G iPad 2 - Unboxing and first look - @mention #ipad2 #ipad #apple {link} via @mention #sxsw,no emotion,Apple
@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},Positive emotion,Apple
@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},Positive emotion,Apple
"Computer and Droid here RT @mention My #agnerd confession, using laptop, iPad and blackberry to follow #SXSW from afar to see #agchat",no emotion,Apple
At #SXSW and having 10 times better luck with my Verizon air card than my AT&amp;T iPhone.,no emotion,Apple
@mention and I did a &quot;south by&quot; drive-by for this baby!! What an adventure!! #sxsw #iPad #fb  {link},no emotion,Apple
"oh sure, and I don't arrive till tomorrow ........ ÛÏ@mention RT @mention Google set to launch new social network #Circles today at #sxswÛ",no emotion,Google
"All tech and interaction events have their own ipad apps, right?    {link} #sxsw",no emotion,Apple
At #SXSW and need to get your iPad 2 right away? Apple is opening a pop-up store for you at West 6th &amp; Congress: {link},no emotion,Apple
"Check in and offers through Google, cool. {link} #SXSW",Positive emotion,Google
At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mention,no emotion,Apple
Was he standing? Talented... RT @mention eww &amp; LOL. RT @mention Just saw a guy tweeting on his iPad while peeing...This is #sxsw,no emotion,Apple
@mention android dev #sxsw @mention {link},no emotion,Google
Complete Android Guide (print) on sale at #sxsw bookstore today: $15. Include 99-cent upgrade to 2.4/3.0-ready ebook. Signing at 4:30!,no emotion,Google
@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,Positive emotion,Google
@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,Negative emotion,Both
Building Android or iOS applications? We've got a tool that can do both - #SXSW Ballroom A at 11:00,no emotion,Both
"iPad2 vs Android vs the World. With a title like this, I have a near hockey-fan esque desire for a fight to break out. #gsdm #sxsw #platform",no emotion,Both
"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",Positive emotion,Apple
Woke up sandwiched between my iPhone and iPad. I forgot how much #SXSW was like geek spring break,no emotion,Apple
"Paywall panel: Daniel Bernard WSJ:
In app (game) purchases are frictionless like apple. &quot;the new free&quot; #sxsw",no emotion,Apple
#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,Positive emotion,Apple
lonely planet austin guide on the iphone free download for a limited period {link} #sxsw,no emotion,Apple
Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.,Negative emotion,Apple
Lonely Planet's free guide to Austin: {link} iPhone #sxsw,no emotion,Apple
Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel,Positive emotion,Apple
Game mechanics talk with google at sxsw is so packed there's a long line still waiting to get in. #sxsw,no emotion,Google
Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,no emotion,Apple
The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,Positive emotion,Apple
"A huge THANK U to the nice person who found my iPhone (blue, white stripes) on the 4th floor of the ConventionCenter &amp; brought it back #sxsw",no emotion,Apple
#sxsw  thanks for the ever present iPhone barging tables...,Positive emotion,Apple
@mention another google social failure? #sxsw,Negative emotion,Google
Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,Positive emotion,Google
"Google plans to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",no emotion,Google
mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,Positive emotion,Apple
I don't want to lose your love #google #SXSW,Positive emotion,Google
